,subject,date,eid,probe,region,lda_trial_start,lda_iti,lda_reward,lda_ommission
1,ZFM-03330,2022-02-16,5244890d-9353-4cfe-a18e-23481883e3a4,probe01,MRN,1.1229218042693454,0.9819757480323185,1.616911540718578,1.8892548717227355
2,ZFM-03330,2022-02-16,5244890d-9353-4cfe-a18e-23481883e3a4,probe01,RSP,21.544006729779085,0.40798700010676625,0.6162292833534084,0.6292069041067977
3,ZFM-03330,2022-02-16,5244890d-9353-4cfe-a18e-23481883e3a4,probe01,SC,1.4374769447397724,1.3899781753621805,2.0917559186555064,2.016948092252172
4,ZFM-03330,2022-02-16,5244890d-9353-4cfe-a18e-23481883e3a4,probe01,SN,0.6978371927889893,0.4852470535099337,0.8191010137624724,0.768476714300146
5,ZFM-03330,2022-02-16,5244890d-9353-4cfe-a18e-23481883e3a4,probe00,M2,1.3418222293727382,1.03366474917661,1.6380582574579778,1.4860318841632116
6,ZFM-03330,2022-02-16,5244890d-9353-4cfe-a18e-23481883e3a4,probe00,mPFC,8.741606336104487,9.33397081073125,2.907959580109873,2.378974249089814
7,ZFM-02601,2021-11-18,40d3fa8b-3c47-4146-ad7a-c38dc7323e4e,probe00,Hipp,2.210831000391772,2.3020350020891076,2.998477403798959,11.231816734692085
8,ZFM-02601,2021-11-18,40d3fa8b-3c47-4146-ad7a-c38dc7323e4e,probe00,PPC,4.558794217154685,1.5897166516550896,2.9772208359527212,13.292198242035834
9,ZFM-02601,2021-11-18,40d3fa8b-3c47-4146-ad7a-c38dc7323e4e,probe00,Thal,2.857266093000024,2.7216008086610826,1.808947878652488,1.3564264917904851
10,ZFM-02600,2021-08-28,865496ae-3206-4974-af44-2cff2f7023f2,probe01,BC,1.4879526949448985,1.2164813856406684,1.9432937751521018,8.493060736154128
11,ZFM-02600,2021-08-28,865496ae-3206-4974-af44-2cff2f7023f2,probe01,Pir,0.855281292480714,0.6717401830782682,1.085925937024994,2.599676418153443
12,ZFM-02600,2021-08-28,865496ae-3206-4974-af44-2cff2f7023f2,probe01,Str,1.25318953573424,1.2573003141221184,1.7020669501033208,13.334192583625288
13,ZFM-02600,2021-08-28,865496ae-3206-4974-af44-2cff2f7023f2,probe00,M2,1.0742392535051166,0.80368995176417,1.9583224131070152,2.7714153753263973
14,ZFM-02600,2021-08-28,865496ae-3206-4974-af44-2cff2f7023f2,probe00,OFC,0.8591285663832269,0.6383969846175312,1.4349520242107658,1.670540505656266
15,ZFM-02600,2021-08-28,865496ae-3206-4974-af44-2cff2f7023f2,probe00,mPFC,4.263330567078375,3.072459156888719,8.192144326666439,2.435153600673127
16,ZFM-02600,2021-08-27,0d24afce-9d3c-449e-ac9f-577eefefbd7e,probe01,MRN,0.6260463390843558,0.48396556143032643,0.5190897038647603,0.7204307532548259
17,ZFM-02600,2021-08-27,0d24afce-9d3c-449e-ac9f-577eefefbd7e,probe01,SC,1.4520416609204712,0.9640201061096483,1.411892256281004,2.1830968857442814
18,ZFM-02600,2021-08-27,0d24afce-9d3c-449e-ac9f-577eefefbd7e,probe01,SN,1.0276596574969274,0.4978419041360266,1.0023054380350083,1.1555537319237434
19,ZFM-02600,2021-08-27,0d24afce-9d3c-449e-ac9f-577eefefbd7e,probe00,Hipp,9.101654033934384,0.9498888703257446,1.6961615775937222,2.40170056165093
20,ZFM-02600,2021-08-27,0d24afce-9d3c-449e-ac9f-577eefefbd7e,probe00,PPC,11.70961990406036,1.165478246986698,2.0204697680293564,4.532283378250403
21,ZFM-02600,2021-08-27,0d24afce-9d3c-449e-ac9f-577eefefbd7e,probe00,Thal,1.7190496306107719,1.4500833312477721,2.87695875886259,5.772686797013084
22,ZFM-02600,2021-08-26,c8f68575-e5a8-4960-a690-0149c5c4683f,probe00,MRN,7.90997248626357,0.58594041360132,1.5935481523313952,2.0092803897785303
23,ZFM-02600,2021-08-26,c8f68575-e5a8-4960-a690-0149c5c4683f,probe00,PAG,0.7482674331478925,0.6638905648285837,1.0572783819567197,1.6338196508838017
24,ZFM-02600,2021-08-26,c8f68575-e5a8-4960-a690-0149c5c4683f,probe00,RSP,9.41475701030577,0.37727097895418193,0.6323223636295057,0.7303249791588893
25,ZFM-02600,2021-08-26,c8f68575-e5a8-4960-a690-0149c5c4683f,probe00,SC,3.287009158028728,1.4469765261471244,2.2785592585566854,2.824232012254
26,ZFM-02600,2021-08-26,c8f68575-e5a8-4960-a690-0149c5c4683f,probe01,M2,11.78794917311335,1.7571345078082212,2.8442323888374332,4.113627140307161
27,ZFM-02600,2021-08-26,c8f68575-e5a8-4960-a690-0149c5c4683f,probe01,OFC,4.728810551370669,2.3358387708141635,3.881613814798789,2.600175512454287
28,ZFM-02600,2021-08-26,c8f68575-e5a8-4960-a690-0149c5c4683f,probe01,Pir,5.838160898847594,1.1884849297611766,1.8784908790173418,8.657550553407383
29,ZFM-02600,2021-08-25,5b7e1b65-b844-4fe8-b19e-1c3175290a63,probe01,Amyg,1.9516408389566542,1.4625722193651836,2.2686241956976807,8.118362577180152
30,ZFM-02600,2021-08-25,5b7e1b65-b844-4fe8-b19e-1c3175290a63,probe00,OFC,1.640208867044021,1.144891555840176,2.3763761535902157,6.3591419926802875
31,ZFM-02600,2021-08-25,5b7e1b65-b844-4fe8-b19e-1c3175290a63,probe00,mPFC,3.046746346166193,2.6095180809335945,4.668703074145818,3.3970342782260836
32,ZFM-02181,2021-07-14,299bf322-e039-4444-8f04-67fde247ae5e,probe00,M2,2.5157538244488835,3.108531558703656,14.262306846650308,2.770863380840903
33,ZFM-02181,2021-07-14,299bf322-e039-4444-8f04-67fde247ae5e,probe00,OFC,3.5541062490090054,3.864254738220712,3.710599394575513,1.8386242617521171
34,ZFM-02181,2021-07-14,299bf322-e039-4444-8f04-67fde247ae5e,probe00,mPFC,3.9921722308427476,4.190632294610101,10.78158482507975,2.814991967825317
35,ZFM-02181,2021-07-14,299bf322-e039-4444-8f04-67fde247ae5e,probe01,Amyg,5.796552389287373,4.543023744280884,2.597299804224951,1.5783256351995751
36,ZFM-02181,2021-07-14,299bf322-e039-4444-8f04-67fde247ae5e,probe01,GP,1.2579747020684393,1.2410267204610226,1.727107028113323,1.7221964218870038
37,ZFM-02181,2021-07-14,299bf322-e039-4444-8f04-67fde247ae5e,probe01,Thal,4.460153456554787,4.592164954771779,2.461662425897173,1.8516202269419884
